"Community safety and social inclusion > Welsh Index of Multiple Deprivation > Archive > Pre WIMD 2014 indicator data > Indicator data by Lower Layer Super Output Areas"
"Indicator data by Lower Layer Super Output Areas"

Filters:
Year: WIMD 2011

"","","","employment-related benefits (% of working-age population) (1)","income-related benefits - Child Index (% 0-18 year olds) (2)","income-related benefits (% of population) (3)","Key Stage 2 mean points score (4)","Key Stage 3 mean points score (4)","Key Stage 4 mean points score (5)","low birth weight (% of live singleton babies) (6)","Primary School absence rate (% of half day sessions missed) (7)","Secondary School absence rate (% of half day sessions missed) (8)"
"W01000157 ","Wales ","Conwy 004C ",21,32.8,26.6,81,101,369,3.9,7.8,11.6
"W01000158 ","Wales ","Conwy 004D ",11,15,11.7,90,116,430,8.6,4.8,6.3
"W01000159 ","Wales ","Conwy 014B ",6,14.4,11.7,88,102,417,1.5,5.8,7.8
"W01000160 ","Wales ","Conwy 011A ",10,16.7,12.5,80,101,407,7.2,4.9,7.5
"W01000161 ","Wales ","Conwy 011B ",8,4.3,5.7,86,105,459,5.2,5.6,7
"W01000162 ","Wales ","Conwy 014C ",9,12,10.6,81,107,459,2.5,4.9,7.6
"W01000163 ","Wales ","Conwy 009E ",23,58.6,40.8,73,96,403,8.6,7.1,11.1
"W01000164 ","Wales ","Conwy 009F ",9,27.5,17.5,82,101,486,6.4,5.3,9.1
"W01000165 ","Wales ","Conwy 006C ",7,6,6.4,84,110,464,4.9,5.3,5.8
"W01000166 ","Wales ","Conwy 006D ",15,23.1,18.7,80,98,399,6.6,6.5,9
"W01000167 ","Wales ","Conwy 011C ",18,36.4,24,79,94,419,7.3,5.8,11.1
"W01000168 ","Wales ","Conwy 002B ",17,32.6,23.7,80,96,316,8.1,6.8,9.9
"W01000169 ","Wales ","Conwy 001D ",23,19.6,25,86,94,400,7.3,5.8,6.8
"W01000170 ","Wales ","Conwy 013C ",11,24,14.9,85,102,417,8.5,6.2,9.5
"W01000171 ","Wales ","Conwy 013D ",18,31,23,81,101,421,4.4,5.7,8.5
"W01000172 ","Wales ","Conwy 013E ",21,43.9,29.5,83,104,436,9.4,6.2,9.2
"W01000173 ","Wales ","Conwy 003B ",7,7.1,7.4,89,109,445,3.6,6.1,5.7
"W01000174 ","Wales ","Conwy 003C ",5,5.9,5.8,87,106,410,3.7,4.7,5
"W01000175 ","Wales ","Conwy 003D ",7,4.1,5.8,87,107,425,1.3,4.8,5.6
"W01000176 ","Wales ","Conwy 011D ",16,31.5,22.3,78,98,388,4.7,6.9,8.1
"W01000177 ","Wales ","Conwy 011E ",10,23.6,15,82,101,421,3.1,7.2,7.9
"W01000178 ","Wales ","Conwy 010E ",20,39.6,29.9,82,96,365,5.2,5.9,9.4
"W01000179 ","Wales ","Conwy 010F ",10,14.1,11.1,89,105,409,6.4,5.2,8.5
"W01000180 ","Wales ","Conwy 008C ",8,5.5,6.2,85,115,522,3.4,5,5.4
"W01000181 ","Wales ","Conwy 008D ",8,12.8,8.7,87,116,496,4.9,4.3,5.9
"W01000182 ","Wales ","Conwy 007D ",34,31.3,30.4,79,103,442,7.2,6.2,8.3
"W01000183 ","Wales ","Conwy 008E ",11,7.3,12.1,88,119,505,1.5,5.4,7.7
"W01000184 ","Wales ","Conwy 005E ",21,29,21.4,80,98,337,4.5,7.9,11.3
"W01000185 ","Wales ","Conwy 015E ",11,16.3,13.7,85,100,381,5.7,5.2,7.1
"W01000186 ","Wales ","Conwy 001E ",20,35.2,27.1,81,96,294,7.8,6.3,7.6
"W01000187 ","Wales ","Conwy 002C ",27,51.4,40.8,81,95,297,7.8,7.6,10
"W01000188 ","Wales ","Conwy 002D ",11,21.3,12.9,84,100,382,3.6,5.7,7.7
"W01000189 ","Wales ","Conwy 015F ",9,10.1,10,80,99,380,6.7,4.9,10.1
"W01000190 ","Wales ","Conwy 014D ",7,9.5,11,88,104,449,10.5,3.6,7.1
"W01000191 ","Wales ","Denbighshire 009A ",10,25.6,15.2,81,103,356,6.8,6.4,9.6
"W01000192 ","Wales ","Denbighshire 016A ",11,11.9,11.7,83,102,476,4.5,4.3,8.7
"W01000193 ","Wales ","Denbighshire 015A ",13,25.9,18.1,79,100,440,8.4,5.6,9.8
"W01000194 ","Wales ","Denbighshire 011A ",18,16.1,16.7,83,103,376,6.2,5.5,8.3
"W01000195 ","Wales ","Denbighshire 012A ",6,6.3,5.9,86,106,468,1.9,4.2,7.3
"W01000196 ","Wales ","Denbighshire 012B ",6,6.6,5.9,87,100,382,7.1,4.1,7.9
"W01000197 ","Wales ","Denbighshire 012C ",9,5.7,9.4,84,102,388,3,4.1,7.8
"W01000198 ","Wales ","Denbighshire 011B ",27,58,38.1,77,93,274,6.7,7,14.3
"W01000199 ","Wales ","Denbighshire 011C ",15,25.5,18.2,85,97,302,4.9,5.3,10.6
"W01000200 ","Wales ","Denbighshire 008A ",9,14.6,10.8,83,103,423,4.1,5.4,5.1
"W01000201 ","Wales ","Denbighshire 008B ",12,23.3,17.7,82,101,341,5.1,7.4,8.9
"W01000202 ","Wales ","Denbighshire 015B ",6,11.4,9,85,108,613,1.3,4.1,6.1
"W01000203 ","Wales ","Denbighshire 013A ",6,6.6,7.1,86,111,612,2.7,4.1,5.4
"W01000204 ","Wales ","Denbighshire 013B ",4,6.9,5.8,89,111,648,5.1,4.3,4.6
"W01000205 ","Wales ","Denbighshire 016B ",8,13.8,10.3,85,102,401,7.3,5,8.9
"W01000206 ","Wales ","Denbighshire 013C ",9,10,9.6,86,108,549,6.7,5.1,6.1
"W01000207 ","Wales ","Denbighshire 015C ",7,8.4,7.2,81,106,566,5.5,4.7,7.7
"W01000208 ","Wales ","Denbighshire 016C ",12,24.7,16.1,84,108,564,1.2,5.4,6.3
"W01000209 ","Wales ","Denbighshire 016D ",11,20.9,15.1,80,99,475,6.8,5.9,7.4
"W01000210 ","Wales ","Denbighshire 016E ",8,8.8,8.2,83,106,526,5.6,4.8,5.5
"W01000211 ","Wales ","Denbighshire 012D ",7,8.3,8.8,83,110,566,2.9,4.6,5.3
"W01000212 ","Wales ","Denbighshire 003A ",11,12.9,9.7,86,105,407,4.2,5,6
"W01000213 ","Wales ","Denbighshire 002A ",23,48.2,33.1,78,94,325,7.1,6,11.4
"W01000214 ","Wales ","Denbighshire 002B ",12,24.7,18.4,80,99,331,6,4.9,8.4
"W01000215 ","Wales ","Denbighshire 002C ",7,3.8,6,86,106,410,4.3,4.4,5.9
"W01000216 ","Wales ","Denbighshire 002D ",13,20.2,17.7,81,100,345,5.1,5.5,8
"W01000217 ","Wales ","Denbighshire 008C ",15,32,20.9,81,95,350,7,5.6,9.3
"W01000218 ","Wales ","Denbighshire 001A ",16,21.5,20.2,81,102,368,5,6.4,9.2
"W01000219 ","Wales ","Denbighshire 001B ",14,28.1,20.9,79,103,322,5.3,6.4,8.9
"W01000220 ","Wales ","Denbighshire 001C ",21,25,18.8,77,94,357,4.7,6.7,9
